serial_number,lat,lon
HMA6KRK,47.924417,106.865684
KT4KJ47,47.915527,106.893736
LUAKYUG,47.91212,106.953814
HGSSMAW,47.953734,106.943219
Y7KL6KJ,47.925953,106.987388
MUPH4JJ,47.939127,106.931421
TTVPJAP,47.933672,106.935634
MHPP97G,47.922891,106.939619
TMSSCRY,47.935863,107.006293
TVUM769,47.942936,106.919059
PCMSTGG,47.968355,106.929907
RR9M4V9,47.929507,106.913833
7zxpmnr6,47.914649,106.91701
KW6XH4J,47.937128,106.793034
CUVCV9Y,47.922826,106.794645
GCWJPX9,47.932849,106.817432
CVWU6VT,47.953246,106.826962
SMCAMHK,47.957138,106.836971
SLSVLW4,47.915199,106.846345
GJCXCYS,47.857916,106.770765
WHSSK9M,47.866314,106.803913
JAHP4HS,47.885564,106.91161
PTM4JAM,47.936933,106.905946
